"first_name","last_name","sex"
"Hercules","Benzmuller","M"
"Hercules","Brendel","F"
"Hercules","Baranowski","M"
"Hercules","Barreiro","M"
"Hercules","Baer","M"
"Hercules","Bernardinello","F"
"Hercules","Basagni","M"
"Hercules","Biran","F"
"Hercules","Bernatsky","M"
"Hercules","Bail","F"
"Hercules","Birge","F"
"Hercules","Bisiani","F"
"Hercules","Bodoff","M"
"Hercules","Biron","F"
"Hercules","Buchter","M"
"Hercules","Bain","F"
"Hercules","Bahr","M"
"Hercules","Berstel","F"
"Hercules","Baak","M"
"Hercules","Benantar","F"
